mixCode;loadSize;aggregate1_name;aggregate1_target;aggregate1_actual;aggregate2_name;aggregate2_target;aggregate2_actual;aggregate3_name;aggregate3_target;aggregate3_actual;total_cement_target;total_cement_actual;admixture1_name;admixture1_target;admixture1_actual;admixture2_name;admixture2_target;admixture2_actual;admixture3_name;admixture3_target;admixture3_actual;admixture4_name;admixture4_target;admixture4_actual;total_water_target;total_water_actual;ResistenciaConvertida;water_to_cement_ratio
C-1500-0-28-6;24.0;ARENA;44864.0;44620.0;"GRAVA 1""";0.0;0.0;GRAVA 1/2;0.0;0.0;6720.0;6724.0;EUCOESTABILIZADOR;35.28;36.4;PLASTOL HR PLUS;32.16;31.94;ISORETARD;0.0;0.0;PLASTOL 8000;0.0;0.0;3062.88;3066.0;105.0;0.45597858417608567
C-1500-0-28-6;17.0;GRAVA;0.0;0.0;ARENA;32814.0;32720.0;---;0.0;0.0;4760.0;4736.0;EUCON WR 155 CM;0.0;0.0;PLASTOL HR-CMB-100;0.0;0.0;MAPEPLAST R 11;21.76;21.92;DYNAMON SX;4.0;4.3;1442.0;1424.0;105.0;0.30067567567567566
C-1500-0-28-6;58.0;GRAVA;0.0;0.0;ARENA;109546.0;109420.0;ARENA CALIZA;0.0;0.0;16240.0;16298.0;PLASTOL HDCMB;0.0;0.0;EUCON RD12;0.0;0.0;MAPEPLAST;74.24;74.04;DYNAMON;16.0;14.6;7322.0;7222.0;105.0;0.4431218554423855
C-1500-0-28-6;17.0;GRAVA;0.0;0.0;ARENA;31670.0;31600.0;N/A;0.0;0.0;4760.0;4778.0;PLASTOL HDCMB;0.0;0.0;EUCON RD12;0.0;0.0;MAPEPLAST;21.76;21.7;DYNAMON;4.0;4.28;2586.0;2568.0;105.0;0.5374633737965676
C-1500-0-28-6;311.0;GRAVA;0.0;0.0;ARENA;566610.0;565490.0;N/A;0.0;0.0;87080.0;87188.0;PLASTOL HDCMB;0.0;0.0;EUCON RD12;0.0;0.0;MAPEPLAST R18A;385.22;381.46;DYNAMON;186.0;180.54;60066.0;58810.0;105.0;0.6745194292792586
C-1500-0-28-6;153.5;GRAVA FINA;0.0;0.0;GRAVA COMÚN;0.0;0.0;ARENA;292308.0;279850.0;45108.0;45200.0;ESTABILIZADOR;236.78;238.2;PLASTOL;215.9;213.58;ADITIVO 3;0.0;0.0;ADITIVO 4;0.0;0.0;29242.0;28096.0;105.0;0.6215929203539823
C-1500-0-28-6;41.0;GRAVA FINA;0.0;0.0;GRAVA COMÚN;0.0;0.0;ARENA;86964.0;86560.0;13440.0;13466.0;ESTABILIZADOR;70.56;70.56;PLASTOL;64.32;64.32;MAPEPLAST R 11;0.0;0.0;DYNAMON SX;0.0;0.0;8844.0;8632.0;105.0;0.6410218327639983
C-1500-0-28-6;391.0;GRAVA FINA;0.0;0.0;GRAVA COMÚN;0.0;0.0;ARENA;718548.0;715870.0;109480.0;108484.0;EUCON WR 155 CM;0.0;0.0;PLASTOL HR-CMB-100;0.0;0.0;MAPEPLAST R 11;500.48;482.98;DYNAMON SX;98.0;85.58;69318.0;66914.0;105.0;0.616809852144095
C-1500-0-28-6-F;40.5;GRAVA FINA;0.0;0.0;GRAVA COMÚN;0.0;0.0;ARENA;70695.0;70365.0;11340.0;11310.0;EUCON RD 12;47.79;47.82;PLASTOL HR-CMB-100;24.21;23.25;MAPEPLAST R 11;0.0;0.0;DYNAMON SX;0.0;0.0;7674.0;7677.0;105.0;0.6787798408488064
C-1500-0-28-6-I;26.0;GRAVA FINA;0.0;0.0;GRAVA COMÚN;0.0;0.0;ARENA;48506.0;48580.0;7280.0;7248.0;EUCON WR 155 CM;0.0;0.0;PLASTOL HR-CMB-100;0.0;0.0;MAPEPLAST R 11;32.78;32.74;DYNAMON SX;10.0;8.58;3884.0;3594.0;105.0;0.4958609271523179
